#,Year,TEAM,PLAYER SELECTED,PICK GRADE,INSTANT ANALYSIS
11,2020,San Antonio,Devin Vassell,B+,"Few players have Devin Vassell's combination of bounce and glide. He stood out on that hyper-aggressive Florida State squad due in large part to his casual elegance. Vassell's approach should not be confused with nonchalance – he just plays with a sense of cool. The game looks like it comes easy to him. Much like everyone else on his team, Vassell can do a little bit of everything ¬– handle, spot-up (career 41.7% 3-point shooter in two seasons), penetrate, dish, and fly in transition. The 6-7 Vassell could use a little extra bulk to hang with the NBA's bigger wings, but the main question is whether Vassell is going to bring it every night."
12,2020,Sacramento,Tyrese Haliburton,A,"Tyrese Haliburton's off-the-charts basketball IQ and his magnetic personality make him a coach's dream, regardless of who else is on the team. He is a floor general in every sense of the term, but he can also play off the ball alongside a high-usage player, thanks in large part to his impressive spot-up shooting numbers and his ability to penetrate against aggressive closeouts. His defensive versatility is also quite appealing, as Haliburton is quick enough to slide his feet against speedier guards and rangy enough to jump passing lanes for steals. The most significant red flag? That jumper is funky. It goes in – and it goes in a lot – but it is reasonable to wonder if that low and slow release will be nearly as successful against NBA-level athletes. It would also do him some good to add a little bulk to that wiry 185-pound frame, especially if a team is going to ask him to hang in with the James Harden types defensively. Haliburton is everything the Kings could hope for – sharing the ball with De'Aaron Fox will be a matchup nightmare for most NBA backcourts. This is the steal of the draft thus far."
13,2020,New Orleans,Kira Lewis,A-,"Kira Lewis is at or near the top of this draft class in terms of raw baseline-to-baseline speed. Lewis can fly with the ball in his hands and, at 6-3, can make big-time plays for himself and for others in transition. We saw his assist numbers take a big jump from 2.9 his freshman year at Alabama up to 5.2. He's an emerging jump shooter, as well, hitting just under 37% of his 3s on a good number of attempts. He isn't the kind of dead-eye marksman who can warp defenses with 30-foot bombs, but he shoots well enough to keep a defense honest. His length and quickness will serve him well on the defensive end, as well. His ceiling will be determined by his ability to add weight without sacrificing speed – he tips the scales at only 165 pounds right now. But he is extremely young for a sophomore (only 19), so he has plenty of upside remaining. Lewis fits in nicely with what the New Orleans Pelicans are building around Zion Williamson and should help fill that Jrue Holiday-sized hole."
14,2020,Boston,Aaron Nesmith,A,"Aaron Nesmith hasn't even suited up for an NBA team yet, but he is likely itching to get some shots up. Had his sophomore season at Vanderbilt not been cut short, he probably would have led college basketball in 3s attempted and made. He canned 52% of his 3s on more than eight attempts and filled it up to the tune of 23 points per game. At 6-6 with strong overall physical measurables and defensive upside, the Klay Thompson comparison has gained steam heading into this draft. Concerns still surround his injured right foot and whether his phenomenal 14-game sophomore campaign is the real deal or if it's just a hot streak over a small sample size – Nesmith was only a 33.7% 3-point shooter as a freshman. But at this point in the draft, he is clearly the best scorer available. He should contribute right away for the Boston Celtics, who desperately need some bench-scoring juice to go alongside their potent young wings. Great pick."
15,2020,Orlando,Cole Anthony,B,"Cole Anthony has been on the NBA radar for a very long time, considering he just turned 20. His father, Greg, was a longtime NBA veteran and TV announcer. Cole rolled into Chapel Hill as one of the most touted high school guards and led the Tar Heels in scoring at 18.5 points per game. Anthony isn't a classic set-the-table point guard. He treats himself as the first, second, and third scoring option. He isn't the most efficient scorer (38% FG, 34% 3pt), but he is a shifty, aggressive scorer who knows how to get to the rim and get to the line. He is a solid on-ball defender with terrific size for his position, but Anthony might top out as a scoring sparkplug off the bench if his overall playmaking skills plateau. The Orlando Magic roster is still a bit lopsided toward big men, so Anthony brings a much-needed dimension to their backcourt."
16,2020,Detroit,Isaiah Stewart,C+,"While Jaden McDaniels received most of the preseason accolades, it was Isaiah Stewart who emerged as the most consistent big man on that Washington squad. Stewart bulldozed his way to 17/9 every night with a couple of blocks. He knows how to use his wide shoulders and 250-pound frame to clear space, and his 7-4 wingspan helps him play taller than 6-9. He wasn't asked to play much perimeter defense in Washington's zone, so it will take him some time to figure out how to cover spread pick-and-roll attacks. He also provides next to no floor spacing; nearly all of his offense comes within five feet of the rim. He is a major reach at No. 16, but as Woj reports, there is a personal connection between Stewart and new Pistons GM Troy Weaver. Stewart brings a bit of that old-school 2004 Detroit vibe back to a squad that needs his toughness."
17,2020,Oklahoma City,Aleksej Pokusevski,C-,"Aleksej Pokusevski is this year's mysterious ""guard skills in a big man's body"" prospect. The 7-foot Serbian can shoot, handle, pass, and run the floor like a small forward. His height and his high release point allow him to get his shot off no matter who is defending him. He is a deadly pick-and-pop partner, as he can either be the ball handler or the screener who flares out for jumpers. The obvious hole in his game is his lack of muscle mass. He weighs only 190 pounds and has already suffered a variety of injuries in his young career. It's unclear whether he will ever get strong or athletic enough to play in the NBA. But as one of the draft's youngest prospects (doesn't turn 19 until December), he will have time to develop and mature. The Thunder traded 25 and 28 for the opportunity to roll the dice on him."
18,2020,Dallas,Josh Green,A-,"A classic ""glue guy,"" Josh Green rarely tries to do anything he can't do, but instead focuses on all the overlooked ""dirty work"" plays that help a team win. Green led the Arizona Wildcats in steals this past season and emerged as the steadiest contributor for an up-and-down (somewhat disappointing) squad. At 6-6 and a solid 215 pounds, the athletic Green can credibly guard anyone 1-4 and he shows the rare ability to gamble intelligently for a prospect who just turned 20. Green is also a decent 3-point shooter (36%) and an above-average secondary playmaker/facilitator. He won't create his own offense yet and his offensive upside is perhaps a bit lower than other first-round wings, but it's nearly impossible to envision a scenario where a player with Green's all-around skills ends up a bust. He is an ideal fit alongside Luka Doncic and should be an immediate contributor for the Mavericks."
19,2020,Detroit,Saddiq Bey,A,"The Villanova product has everything scouts are looking for from the SF/PF position – size, length, versatility, and (most intriguing) a much-improved shooting stroke (45% from 3 on a hefty 5.6 attempts per game). Saddiq Bey is exactly the type of player we've come to expect from Jay Wright's program – self-assured, high-IQ, extremely high motor. Bey is a classic late bloomer who wasn't highly recruited out of high school, but he has built himself into a legitimate NBA prospect. He's a smart defender who knows how to use his length and height to his advantage. He isn't the most explosive athlete – particularly compared to some of this draft's bouncier wings – and he isn't the kind of player who is going to create his own offense at the NBA level quite yet. But he has a much higher floor than many of his contemporaries and will contribute to a winning effort in Detroit on Day 1."
20,2020,Miami,Precious Achiuwa,A-,"Once the NCAA and James Wiseman decided to part ways, Precious Achiuwa took advantage of the situation in a major way. The athletic marvel showed there is much more to his game than his physics-defying explosiveness en route to the AAC Player of the Year award. He is one of the best rebounders available in this year's draft – particularly on the offensive glass. Achiuwa was a man among boys on the defensive end, as well, anchoring one of college basketball's best defenses with his unique ability to protect the paint and switch along the perimeter. At this stage of his development, his offensive game relies mainly on dunks and short jump hooks, but he showed just enough of an emerging 3-point stroke (13-40 on the season) to get scouts excited. He isn't a ballhandler or a playmaker yet, but Achiuwa can definitely contribute serious athleticism, rebounding, and defense to any big man rotation. Achiuwa's whole approach will fit right in with #HeatCulture. Imagine driving the lane and seeing Bam Adebayo and Achiuwa waiting to greet you. Yikes."
21,2020,Philadelphia,Tyrese Maxey,B,"Tyrese Maxey is the classic aggressive, penetrating, speedy combo guard we have come to expect from John Calipari's NBA pipeline. At 6-3, 200 with terrific length and lateral quickness, it's easy to envision Maxey capably playing either guard spot, or even holding his own in various three-guard lineups like the ones he helped anchor at Kentucky. His true upside lies in his abilities as a one-on-one defender, where he can apply serious ball pressure the length of the floor. Even though Maxey possesses a nice-looking shooting stroke, he struggled with consistency throughout the season and made less than 30% of his 3-pointers. If he can't get his jumper to fall, he'll top out as a defensive specialist. The 76ers really need a dynamic point guard. He will have an opportunity to play right away, but he doesn't do much to solve this roster's shooting woes."
22,2020,Denver,Zeke Nnaji,B,"It's easy to envision a scenario in which Zeke Nnaji earns millions of dollars by spending this next decade setting screens 22 feet away from the hoop and diving relentlessly to the rim. Nnaji is a springy, lively, wiry big man who plays with an extremely high motor and flashes a bit more interior skill than the typical dive man. He doesn't pick up silly fouls and he knows how to position himself on defense. Nnaji's weaknesses center primarily around what happens when he has the ball and the immediate play is taken away. He commits a ton of turnovers for a big man and he struggles when he has to make even first-read passes out of the post. He also offers next to no floor spacing quite yet, so his offensive role will remain limited. But he brings an entirely new dimension to this Nuggets squad backing up Nikola Jokic. Nnaji will also provide insurance in case Jerami Grant departs in free agency."
23,2020,Minnesota,Leandro Bolmaro,B-,"Leandro Bolmaro is a lanky, high-IQ wing out of Argentina with tremendous confidence and a strong all-around floor game. He plays all-out pretty much all the time, which can be a positive or a negative, depending on the situation. He has much better court vision and passing ability than most players at his size, and he can even make plays out of the pick and roll as a primary ball handler. He hasn't really been tested against NBA-level competition yet, and it's unclear whether he has the athleticism to hang at this level. Bolmaro isn't a knockdown shooter quite yet, either – his fundamentals are all over the place. If he can fine-tune his game a little bit, his energy and court vision could prove to be serious assets."
24,2020,Denver,RJ Hampton,A-,"Much like Haliburton and Hayes, RJ Hampton possesses a unique combination of height, length, and court vision for a combo guard. Hampton came out of high school as one of the highest-ranked players in his class, but an underwhelming, low-efficiency season with the New Zealand Breakers has hurt his draft stock. Concerns surrounding his inconsistent perimeter jump shot has teams wondering whether NBA defenders will simply play under every screen and dare him to shoot. If he can get his jumper under control, Hampton could end up the steal of the draft, as his playmaking skills, raw speed, and defensive upside would otherwise put him in the conversation with his lottery-bound peers. This is exactly the kind of pick we have come to expect from Tim Connelly and the Nuggets."
25,2020,Oklahoma City,Immanuel Quickley,B-,"Immanuel Quickley should be named Immanuel Shootley (sorry). He is a true flame-thrower from behind the arc and automatic from the free-throw line. He can hold his own defensively (6-10 wingspan), which will allow him to leverage his tremendous shooting ability in clutch moments. At 6-3, he will be an undersized shooting guard at the next level, as he has yet to show the kind of passing/playmaking skills to play meaningful minutes at point guard. His ceiling tops out as a Lou Williams type of scoring threat off the bench. He's a bit of a reach at this point in the draft, but he's going to be an exciting player."
26,2020,Boston,Payton Pritchard,B,"Payton Pritchard is what you would call a ""gamer."" Pritchard is a tough-as-nails lead guard and he saves his best performances for the biggest moments. He can – and will – shoot it from anywhere, and he maintains above-average efficiency (47/41.5/82 shooting splits) on a high usage rate. He was the unquestioned leader of that Oregon team, and any NBA clubhouse would benefit from Pritchard's intensity and tenacity. He is older (turns 23 in January) and he didn't really play consistently at this level until his senior season. He'll have to overcome some athletic limitations to hang at the NBA level, but there is no questioning his desire to do so."
27,2020,Utah,Udoka Azubuike,B-,"Udoka Azubuike rarely takes a shot he can't make. He converted on nearly 75% of his shot attempts as a senior, using his enormous 7-foot, 270-pound frame to crush the teenage boys that attempted to defended him. He grew up playing soccer, and it shows in his excellent footwork near the hoop. He is also a tremendous rebounder and shot-blocker. Fifteen years ago, Azubuike would have been a top-10 pick, but the game has moved away from the traditional deep-pivot centers. He will struggle to defend in space and he will likely never develop any kind of perimeter jumper, but he should find a way to carve out a role with his size and skills – particularly against certain matchups."
28,2020,Minnesota,Jaden McDaniels,B-,"Jaden McDaniels is one of this draft's most versatile and skilled face-up bigs. Few players with his height and athleticism also flash his kind of perimeter touch. McDaniels can handle it a little bit and loves to shoot it over unsuspecting defenders who don't think he is going to pull up from 22 feet. His perimeter skillset combined with his defensive upside have some scouts wondering if he could develop into the rarest of unicorns – the rim-protecting high-volume 3-point shooter. The trouble is, at least right now, McDaniels is extremely raw on both ends and often fails to play up to his prodigious potential. He came to Washington with such high expectations, but the on-court production simply did not match his high school pedigree. He has more upside than anyone at this point in the draft, but his team will need to exhibit a great deal of patience while he irons out the kinks in his game."
29,2020,Toronto,Malachi Flynn,A-,"Malachi Flynn is the archetypical old-school ""floor general"" style of point guard. Flynn knows exactly what to do and exactly where his teammates are supposed to be. He won't wow anyone with his athletic measurables or his P3 explosability or whatever, but Flynn just knows how to play basketball. He's a solid perimeter shooter and a magnificent table-setter. He is also a heady, tenacious defender who knows how to pressure the ball and jump passing lanes. At age 22, what you see might be what you get, however. It's unlikely that we'll see him make some major leap in terms of his athleticism or his frame. But at this point in the draft, Flynn makes all the sense in the world for a team that is looking to win as many games as possible and needs another member in its guard rotation who can shoot, pass, handle, and defend his butt off. Flynn and Fred Van Vleet have a lot in common."
30,2020,Memphis,Desmond Bane,B+,"Solid. Steady. Dependable. Reliable. What you see is exactly what you get with Desmond Bane. The 6-6 wing is as consistent in any player in this draft, and he has more game film to evaluate than anyone. After four heavy-minutes seasons at TCU, it's clear what Bane does well – he's a high-motor, savvy shooter with range to spare. He canned 43% of his 3s over 141 college games, including a 44.2% mark as a senior. He crashes the glass and flashes more playmaking/passing skills than most long-range bombers, as well. At age 22, Bane's upside might be limited. His negative wingspan (only 6-4) and comparative lack of fluidity and lack of quickness could hinder the defense portion of his 3-and-D career path. It's not hard to imagine Bane carving out a Danny Green type of role in the NBA, but remember, Green has a 6-10 wingspan."
31,2020,Dallas,Tyrell Terry,A,"Some college shooters trick you into thinking they will be legitimate NBA floor spacers because they can knock down a decent percentage of shots from the college 3-point line. Others find ways to extend that range to the NBA line. Even fewer possess that true floor-warping range that forces defenses to pick them up at 30 feet. Terry has that kind of range. He was one of college basketball's most efficient long-range scorers last season, showing effective spot-up and pull-up shooting ability. Terry is a better-than-you-think defender and a real pest on the glass. He isn't a natural playmaker and, at 165 pounds, is going to take a bit of a pounding early on, but Terry is one of this draft class's most thoughtful, intuitive, and self-aware prospects. Bet on Terry to find his niche in this league. Dallas is the ideal spot for him to land. He brings a similar skillset as Seth Curry, and we have ample evidence of how well Seth has played alongside Doncic."
32,2020,Charlotte,Vernon Carey,B-,"Vernon Carey is this draft's lone true BIG man. The other center prospects are either undersized athletic freaks or extremely tall and lean centers with perimeter skills. At 6-10, 270, Carey can simply lower his shoulder and plow through anyone attempting to defend him. He isn't just a bruiser, though. Carey is a highly skilled offensive threat with surprising agility, tremendous hands, and a consistent approach. He is like a running back who averages four yards per carry – feed him the rock and he'll pick up first downs. He knows how to use his wide frame to establish position and box out, as well. His struggles will come defensively. Teams will pick on him mercilessly in the pick and roll and force Carey to defend in space. Carey could carve out a career similar to Enes Kanter – a scoring/offensive rebounding force in some matchups, and a defensive liability in others."
33,2020,New York,Daniel Oturu,B+,"Few players made a bigger leap from the 2018-19 season to the 2019-20 season than Daniel Oturu. As a freshman, the 6-10 big man looked like a promising rebounder with an emerging jumper. As a sophomore, he was a double-double machine and looked like a two-way wrecking ball, putting up 20/11/2.5 blocks per game for Minnesota. He works extremely hard on his game and he takes coaching to heart, but he will never be the jaw-dropping athlete that currently populate many NBA big-man rotations. He is a bit stiff in his movements and it takes him an extra beat to load up his jump shot. If Oturu can get 10% quicker ¬– both in his physical movements and his decision-making processes – his all-around skillset should be able to shine."
34,2020,Oklahoma City,Theo Maledon,B,"Killian Hayes generates most of the headlines, but France's Theo Maledon is a comparable prospect in terms of height (6-5), skillset, and craftiness. Even though he's only 19, Maledon has a fine ""old-man game"" already, thanks to his assortment of change-of-pace dribbles and wonky floater game. He likes to make plays for others, but he isn't timid in creating his own opportunities. At this stage of his development, his offensive efficiency simply isn't there, due in large part to his struggles from behind the arc. His shot mechanics seem solid, but he doesn't have a very quick release at this point. He has plenty of room to grow, and his overall skillset is quite intriguing. This is a high-upside play that could pay dividends in a year or two."
35,2020,Sacramento,Xavier Tillman,B-,"Xavier Tillman is a smart, unselfish, well-rounded bruiser who competes hard and fits in well with a variety of teammates. He defends his butt off – Big Ten Defensive Player of the Year – and already exhibits a veteran's level of understanding on how to defend the pick and roll. He is a coach-on-the-floor type who communicates well. He isn't very explosive and is undersized at 6-8. It's unclear what position he'll play at the next level, and his 27% conversion rate from 3 is a major source of concern. But it's possible that Tillman will have a similar career path of Grant Williams in Boston."
36,2020,Memphis,Tyler Bey,A-,"Tyler Bey is an unorthodox prospect, but a fascinating one. Much like fellow Colorado Buffalo Andre Roberson, Bey doesn't seem to occupy any traditional offensive role that one would find in the NBA, but he is among the most destructive perimeter defensive forces available. It's unusual to see a 6-7 player play primarily in the post offensively, but he carved out an effective niche near the hoop due in large part to his elite athleticism, length (7-1 wingspan), and relentless effort level. He doesn't shoot it from the perimeter very often, but if that skill develops to even a passable level, watch out. Bey was named Pac-12 Defensive Player of the Year because of his ability to shut down slippery guards at the point of attack and switch across multiple positions. His offensive upside is limited, but his defensive potential is tremendous."
37,2020,Washington,Vit Krejci,C,"Vit Krejci is an athletic, high-energy playmaker with great size (6-7) and court vision. He has played well against tough competition, and will likely continue playing overseas for a year or two before the Wizards bring him over. Krejci knows how to handle himself on the court, but he'll be recovering from a pretty serious ACL injury and has yet to show the kind of perimeter shooting ability most teams want from the wing."
38,2020,Utah,Saben Lee,B-,"Saben Lee is a speedy playmaker who lives at the line and loves to pressure the hoop. He really gets after it on both ends of the floor. Lee is a bit undersized, but he doesn't let that stop him from throwing his body around the court. He struggles to shoot it from the 3-point line and will need to get that sorted out before a team will trust him with major minutes."
39,2020,New Orleans,Elijah Hughes,B+,"Elijah Hughes is a solid, sturdy wing who can get his points in a variety of ways. He isn't shy letting it fly behind the arc, but his percentages dipped a bit (37% as a sophomore to 34% as a junior) when Syracuse employed Hughes as the lead scoring option. He is a surprisingly adept playmaker at his size (6-6, 220) who can operate as a secondary ball handler. He has the physical tools to be a stout defender as soon as he unlearns all the Syracuse zone business. Hughes is an older prospect (turns 23 in March), so his upside is likely limited. But he is a high-character, coachable player who will make positive contributions right away."
40,2020,Memphis,Robert Woodard,B,"Robert Woodard II is an intriguing 3-and-D prospect with serious size, strength, length, and bounce. He can shift between either forward spot and make big plays on both ends. He hit an encouraging 43% of his 3s as a sophomore, but that might be a bit of a fluke, as he hit only 27% as a freshman and has struggled mightily from the line as a collegiate player. He isn't the kind of player who will create his own offense, but he plays a team game and loves to do the dirty work."
41,2020,San Antonio,Tre Jones,A-,Tre Jones is a hellacious on-ball defender and an emerging offensive threat as a combo guard. He competes hard and prefers to make plays for his teammates. He developed into an excellent leader for the Blue Devils and has the right kind of mentality to carve out a niche for himself in the league. The Spurs have potentially found themselves another diamond in the rough at No. 40.
42,2020,New Orleans,Nick Richards,B+,"Nick Richards is a bouncy, dynamic shot blocker who stuck around Kentucky much longer than most scouts expected, but made the most of his time with John Calipari, developing into a much better offensive player over the last three seasons. Richards was almost entirely one-dimensional as a freshman, but has improved in all facets of the game. He is perhaps a bit too aggressive when it comes to blocking shots, because he can get himself into foul trouble. At this point in the draft, Richards is a worthwhile gamble with serious defensive upside."
43,2020,Sacramento,Jahmius Ramsey,A,"Jahmius Ramsey is one of this draft's biggest sleepers. The 6-4 guard can fill it up from all areas on the floor. He is an explosive athlete who can use his handle to get to anywhere he wants on the floor and rise up for thunderous dunks, and he can stretch the floor well beyond the 3-point line (42.6% on more than 5 attempts per game). He is also a bulldog defensively, who utilizes his length and speed to wreak havoc on the perimeter. Ramsey also possesses innate leadership abilities and can't-teach-it charisma. Why isn't he going 20 picks higher? 1) He is a score-first player who isn't wired to run an NBA offense as a traditional point guard, 2) he's a high-turnover player who can play a little bit recklessly at times, and 3) he shot only 64% from the line, which raises concerns on whether his shot will translate to the NBA 3-point line. But as one of the draft's youngest players (turned 19 in June), the upside is undeniable."
44,2020,Chicago,Marko Simonovic,C+,"Marko Simonovic is a tall, nimble big man from Montenegro who can really shoot it for his size. He's a better-than-expected athlete and a sneaky screen-setter. At only 215 pounds, Simonovic will struggle to hold his position without some added bulk, and it's unclear whether his solid offensive footwork will ever translate to the defensive end. His NBA future will be determined by his ability to turn into a deadly 3-point shooter like Davis Bertans."
45,2020,Orlando,Jordan Nwora,B+,"Jordan Nwora is a confident, aggressive scorer with legitimate 3-point range and an NBA-ready body. Nwora can do a little bit of everything on offense, but he seeks to do it for himself first and foremost. He has averaged only a little bit more than one assist per game over three years at Louisville in a situation where he had the ball in his hands quite a bit. Defensively, he has the body and the measurables to excel on that end if he can dial in every possession. But his offensive skillset is undeniable – particularly at this point in the draft."
46,2020,Portland,CJ Elleby,B,"CJ Elleby projects as a prototypical 3-and-D wing, but his percentage took a pretty noticeable dip between his freshman and sophomore seasons on increased attempts. He is better spotting up than he is handling it, and his defensive versatility is intriguing. He is a much better rebounder than most players his size and he has shown flashes of big-game potential at Washington State."
47,2020,Boston,Yam Madar,B,"Most people's experience with Yam Mader has come from breaking down Deni Avdija tape. You're often left wondering ""who is that maniac who is defending everyone full court?"" That maniac is Yam Madar. More than a few draft experts have described him as the Israeli Patrick Beverly, due to his relentless defensive intensity and seemingly unlimited stamina. He is a terrific playmaker, as well, but those skills will only go so far until his janky jump shot catches up with the rest of his game – 26.7% from 3 just won't get it done. If he ever gets the 3-ball to fall, watch out."
48,2020,Golden State,Nico Mannion,A-,"Much like RJ Hampton, Nico Mannion entered the 2019-2020 season as a consensus top-10 player, but he has slipped on nearly every draft board after a frustratingly inconsistent season. On paper, Mannion has everything scouts would want from a lead guard – size, athleticism, footwork, and highly developed playmaking instincts. But all too often, Mannion struggled to put it all together for extended stretches. His deep shooting stroke comes and goes (only 32.7% from 3 on the season) and his favorite shot seems to be the impossible mid-range floater or the contested jumper. He isn't particularly long or active defensively, so he will have a lot of work to do to become above-average on that end. Mannion's success will hinge primarily on whether he can trade low-percentage floaters for more efficient opportunities for himself and others. There is more than enough upside and playmaking intrigue to justify his selection deep in round 2."
